NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL,REGION,REGION_S
ЭК,2013,LV,2207,Л,782455.12,947725,1199693.7,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,KZ,2207,Л,48557.77,54089,68474.3,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,UA,2207,Л,37997.87,31240,37355.7,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,SE,2207,Л,2036311.3,2622944,3256999,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,OS,2207,Л,1119.2,58228,68470.2,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,BY,2207,Л,61.98,40.5,30,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,DE,2207,Л,37.1,5.4,6,58000 - ПСКОВСКАЯ ОБЛАСТЬ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,IQ,2207,Л,109830.76,128000,161753.7,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,CZ,2207,Л,851.46,120,120,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,AM,2207,Л,146344.44,129689,156410,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,UA,2207,Л,37347.08,26357.5,15591,60000 - РОСТОВСКАЯ ОБЛАСТЬ,03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,KZ,2207,Л,138492.7,98822,125622.4,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,KZ,2207,Л,113159.37,59123.06,71000,52000 - ОМСКАЯ ОБЛАСТЬ,06-СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,IQ,2207,Л,42869.67,42610,54196.8,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,KZ,2207,Л,23372.08,30155,2575,80000 - РЕСПУБЛИКА БАШКОРТОСТАН,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,IN,2207,Л,11868.3,288.38,250.08,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,LV,2207,Л,12691018.51,9564974,11776142.3,68000 - ТАМБОВСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,GE,2207,Л,22735.96,50995,31000,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,KZ,2207,Л,44.75,5,5,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,LT,2207,Л,859501.21,1554468,1964492.4,36000 - САМАРСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,AB,2207,Л,36883.85,31560,38613.5,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,VN,2207,Л,73541.68,46087,57512,33000 - КИРОВСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,GH,2207,Л,1860529.68,2929968,3642427,83000 - КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,TM,2207,Л,1614900.6,2116349,2538329.2,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,UA,2207,Л,3697.28,1592.1,1870,80000 - РЕСПУБЛИКА БАШКОРТОСТАН,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,TM,2207,Л,2186451.56,2362351,2848729.2,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,ES,2207,Л,24114.82,1580,2000,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,KZ,2207,Л,934.47,660,660,50000 - НОВОСИБИРСКАЯ ОБЛАСТЬ,06-СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2016,UA,2207,Л,1230001.78,1208036,1517862.5,70000 - ТУЛЬСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,DE,2207,Л,18968.19,1848.6,2339.64,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,GB,2207,Л,352660,315088,396714.8,20000 - ВОРОНЕЖСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BY,2207,Л,3019.72,20000,17343.3,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2014,TM,2207,Л,3712183.39,2901064,3676891.1,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2015,GE,2207,Л,59127.54,78132,99026.8,38000 - КУРСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2016,DE,2207,Л,266.67,0.25,0.04,22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,2013,OS,2207,Л,32076.09,20813,25496.8,90000 - РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
